"CENSUS_YEAR","GEO_CODE (POR)","GEO_LEVEL","GEO_NAME","GNR","DATA_QUALITY_FLAG","ALT_GEO_CODE","GEO_CODE (POW)","GEO_LEVEL","GEO_NAME","GNR","DATA_QUALITY_FLAG","ALT_GEO_CODE","Dim: Sex (3): Member ID: [1]: Total - Sex","Dim: Sex (3): Member ID: [2]: Male","Dim: Sex (3): Member ID: [3]: Female"
2016,"1005","2","Division No. 5",7.8,"00000","1005","1209","2","Halifax",3.1,"00000","1209",25,25,0
2016,"1005","2","Division No. 5",7.8,"00000","1005","4816","2","Division No. 16",8.8,"01122","4816",190,175,10
2016,"1006","2","Division No. 6",7.0,"00000","1006","1001","2","Division No. 1",3.6,"00000","1001",315,225,90
2016,"1006","2","Division No. 6",7.0,"00000","1006","1006","2","Division No. 6",4.6,"00000","1006",11915,5020,6890
2016,"1006","2","Division No. 6",7.0,"00000","1006","1007","2","Division No. 7",1.7,"00000","1007",90,45,50
2016,"1006","2","Division No. 6",7.0,"00000","1006","1008","2","Division No. 8",4.6,"00000","1008",300,185,115
2016,"1006","2","Division No. 6",7.0,"00000","1006","1010","2","Division No. 10",3.2,"00000","1010",125,130,0
2016,"1006","2","Division No. 6",7.0,"00000","1006","4816","2","Division No. 16",8.8,"01122","4816",115,115,0
2016,"1007","2","Division No. 7",7.7,"00000","1007","1001","2","Division No. 1",3.6,"00000","1001",1130,925,205
2016,"1007","2","Division No. 7",7.7,"00000","1007","1003","2","Division No. 3",4.0,"00000","1003",35,25,0
2016,"1007","2","Division No. 7",7.7,"00000","1007","1006","2","Division No. 6",4.6,"00000","1006",360,180,175
2016,"1007","2","Division No. 7",7.7,"00000","1007","1007","2","Division No. 7",1.7,"00000","1007",7415,2815,4600
2016,"1007","2","Division No. 7",7.7,"00000","1007","1008","2","Division No. 8",4.6,"00000","1008",30,20,15
2016,"1007","2","Division No. 7",7.7,"00000","1007","1009","2","Division No. 9",5.3,"00000","1009",40,20,20
2016,"1007","2","Division No. 7",7.7,"00000","1007","1010","2","Division No. 10",3.2,"00000","1010",195,170,25
2016,"1007","2","Division No. 7",7.7,"00000","1007","3526","2","Niagara",2.9,"00000","3526",20,15,0
2016,"1007","2","Division No. 7",7.7,"00000","1007","4816","2","Division No. 16",8.8,"01122","4816",105,75,35
2016,"1007","2","Division No. 7",7.7,"00000","1007","6106","2","Region 6",6.8,"00101","6106",20,20,0
2016,"1008","2","Division No. 8",7.1,"00000","1008","1001","2","Division No. 1",3.6,"00000","1001",315,240,80
2016,"1008","2","Division No. 8",7.1,"00000","1008","1003","2","Division No. 3",4.0,"00000","1003",20,10,10
2016,"1008","2","Division No. 8",7.1,"00000","1008","1005","2","Division No. 5",4.5,"00000","1005",40,30,15
2016,"1008","2","Division No. 8",7.1,"00000","1008","1006","2","Division No. 6",4.6,"00000","1006",765,325,435
2016,"1008","2","Division No. 8",7.1,"00000","1008","1007","2","Division No. 7",1.7,"00000","1007",205,80,130
2016,"1008","2","Division No. 8",7.1,"00000","1008","1008","2","Division No. 8",4.6,"00000","1008",6005,2345,3660
2016,"1008","2","Division No. 8",7.1,"00000","1008","1009","2","Division No. 9",5.3,"00000","1009",65,30,35
2016,"1008","2","Division No. 8",7.1,"00000","1008","1010","2","Division No. 10",3.2,"00000","1010",180,145,35
2016,"1008","2","Division No. 8",7.1,"00000","1008","3560","2","Kenora",6.5,"21111","3560",25,25,0
2016,"1008","2","Division No. 8",7.1,"00000","1008","4622","2","Division No. 22",8.2,"00111","4622",45,35,10
2016,"1008","2","Division No. 8",7.1,"00000","1008","4816","2","Division No. 16",8.8,"01122","4816",230,225,10
2016,"1008","2","Division No. 8",7.1,"00000","1008","6106","2","Region 6",6.8,"00101","6106",30,30,0
2016,"1009","2","Division No. 9",8.6,"00000","1009","1001","2","Division No. 1",3.6,"00000","1001",45,35,10
2016,"1009","2","Division No. 9",8.6,"00000","1009","1005","2","Division No. 5",4.5,"00000","1005",60,35,25
2016,"1009","2","Division No. 9",8.6,"00000","1009","1008","2","Division No. 8",4.6,"00000","1008",25,0,25
2016,"1009","2","Division No. 9",8.6,"00000","1009","1009","2","Division No. 9",5.3,"00000","1009",3240,1180,2060
